ID,Measure,Subject,,SubCategory,HebSubject,HebCategory,HebSubCategory,Year
ST17Q01,Father<Highest Schooling>,Family and Home,,Highest Schooling,משפחה ובית,השכלת האב,"השכלה מרבית
",2012
ST18Q01,Father Qualifications - <ISCED level 6>,Family and Home,,<ISCED level 6>,משפחה ובית,השכלת האב,תואר שלישי,2012
ST18Q02,Father Qualifications - <ISCED level 5A>,Family and Home,,<ISCED level 5A>,משפחה ובית,השכלת האב,תואר ראשון/שני,2012
ST18Q03,Father Qualifications - <ISCED level 5B>,Family and Home,,<ISCED level 5B>,משפחה ובית,השכלת האב,לימודי תעודה,2012
ST18Q04,Father Qualifications - <ISCED level 4>,Family and Home,,<ISCED level 4>,משפחה ובית,השכלת האב,תעודת בגרות,2012
ST19Q01,Father Current Job Status,Family and Home,,Current Job Status,משפחה ובית,עבודת האב,עבודה נוכחית,2012
ST20Q01,Country of Birth - Self,Family and Home,,Self,משפחה ובית,ארץ לידה,תלמיד/ה,2012
ST20Q02,Country of Birth - Mother,Family and Home,,Mother,משפחה ובית,ארץ לידה,אמא,2012
ST20Q03,Country of Birth - Father,Family and Home,,Father,משפחה ובית,ארץ לידה,אבא,2012
ST21Q01,Age of arrival in <country of test>,Family and Home,,Age of arrival in <country of test>,משפחה ובית,גיל עליה,,2012
ST25Q01,International Language at Home,Family and Home,,International Language at Home,משפחה ובית,שפה בבית,,2012
ST26Q01,Possessions - desk,Family and Home,,desk,משפחה ובית,חפצים,שולחן לימודים,2012
ST26Q02,Possessions - own room,Family and Home,,own room,משפחה ובית,חפצים,חדר לבד,2012
ST26Q03,Possessions - study place,Family and Home,,study place,משפחה ובית,חפצים,מקום שקט ללמוד,2012
ST26Q04,Possessions - computer,Family and Home,,computer,משפחה ובית,חפצים,מחשב ללימודים,2012
ST26Q05,Possessions - software,Family and Home,,software,משפחה ובית,חפצים,תוכנה לימודית,2012
ST26Q06,Possessions - Internet,Family and Home,,Internet,משפחה ובית,חפצים,חיבור לאינטרנט,2012
ST26Q07,Possessions - literature,Family and Home,,literature,משפחה ובית,חפצים,ספרות קלאסית,2012
ST26Q08,Possessions - poetry,Family and Home,,poetry,משפחה ובית,חפצים,ספרי שירה,2012
ST26Q09,Possessions - art,Family and Home,,art,משפחה ובית,חפצים,יצירות אמנות,2012
ST26Q10,Possessions - textbooks,Family and Home,,textbooks,משפחה ובית,חפצים,ספרי עזר ללימודים,2012
ST26Q11,Possessions - <technical reference books>,Family and Home,,technical reference books,משפחה ובית,חפצים,ספרי עזר טכניים,2012
ST26Q12,Possessions - dictionary,Family and Home,,dictionary,משפחה ובית,חפצים,מילון,2012
ST26Q13,Possessions - dishwasher,Family and Home,,dishwasher,משפחה ובית,חפצים,מדיח כלים,2012
ST26Q14,Possessions - <DVD>,Family and Home,,DVD,משפחה ובית,חפצים,DVD,2012
ST26Q15,Possessions - <Country item 1>,Family and Home,,<Country item 1>,,,,2012
ST26Q16,Possessions - <Country item 2>,Family and Home,,<Country item 2>,,,,2012
ST26Q17,Possessions - <Country item 3>,Family and Home,,<Country item 3>,משפחה ובית,חפצים,,2012
ST27Q01,How many - cellular phones,Family and Home,,cellular phones,משפחה ובית,חפצים,טלפונים ניידים,2012
ST27Q02,How many - televisions,Family and Home,,televisions,משפחה ובית,חפצים,מכשירי טלוויזיה,2012
ST27Q03,How many - computers,Family and Home,,computers,משפחה ובית,חפצים,מחשבים,2012
ST27Q04,How many - cars,Family and Home,,cars,משפחה ובית,חפצים,מכוניות,2012
ST27Q05,How many - rooms bath or shower,Family and Home,,rooms bath or shower,,,,2012
ST28Q01,How many books at home,Family and Home,,Books,,,,2012
ST29Q01,Maths Interest - Enjoy Reading,Learning Mathematics,,Enjoy Reading,לימודי מתמטיקה,עניין,נהנה לקרוא,2012
ST29Q02,Instrumental Motivation - Worthwhile for Work,Learning Mathematics,,Worthwhile for Work,לימודי מתמטיקה,מוטיבציה,משתלם לעבודה,2012
ST29Q03,Maths Interest - Look Forward to Lessons,Learning Mathematics,,Look Forward to Lessons,לימודי מתמטיקה,עניין,מצפה לשיעורים,2012
ST29Q04,Maths Interest - Enjoy Maths,Learning Mathematics,,Enjoy Maths,לימודי מתמטיקה,עניין,נהנה ממתמטיקה,2012
ST29Q05,Instrumental Motivation - Worthwhile for Career Chances,Learning Mathematics,,Worthwhile for Career Chances,לימודי מתמטיקה,מוטיבציה,טוב לקריירה,2012
ST29Q06,Maths Interest - Interested,Learning Mathematics,,Interested,לימודי מתמטיקה,עניין,מתעניין,2012
ST29Q07,Instrumental Motivation - Important for Future Study,Learning Mathematics,,Important for Future Study,לימודי מתמטיקה,מוטיבציה,חשוב ללימודים בהמשך,2012
ST29Q08,Instrumental Motivation - Helps to Get a Job,Learning Mathematics,,Helps to Get a Job,לימודי מתמטיקה,מוטיבציה,עוזר למצוא עבודה,2012
ST35Q01,Subjective Norms - Friends Do Well in Mathematics,Learning Mathematics,,Friends Do Well in Mathematics,לימודי מתמטיקה,נורמות אישיות,חבריי מצליחים במתמטיקה,2012
ST35Q02,Subjective Norms - Friends Work Hard on Mathematics,Learning Mathematics,,Friends Work Hard on Mathematics,לימודי מתמטיקה,נורמות אישיות,חבריי משקיעים במתמטיקה,2012
ST35Q03,Subjective Norms - Friends Enjoy Mathematics Tests,Learning Mathematics,,Friends Enjoy Mathematics Tests,לימודי מתמטיקה,נורמות אישיות,חבריי אוהבים מבחנים במתמטיקה,2012
ST35Q04,Subjective Norms - Parents Believe Studying Mathematics Is Important,Learning Mathematics,,Parents Believe Studying Mathematics Is Important,לימודי מתמטיקה,נורמות אישיות,הוריי מאמינים שמתמטיקה זה חשוב,2012
ST35Q05,Subjective Norms - Parents Believe Mathematics Is Important for Career,Learning Mathematics,,Parents Believe Mathematics Is Important for Career,לימודי מתמטיקה,נורמות אישיות,הוריי מאמינים שמתמטיקה חשובה לקריירה,2012
ST35Q06,Subjective Norms - Parents Like Mathematics,Learning Mathematics,,Parents Like Mathematics,לימודי מתמטיקה,נורמות אישיות,הוריי אוהבים מתמטיקה,2012
ST37Q01,Maths Self-Efficacy - Using a <Train Timetable>,Learning Mathematics,,Using a <Train Timetable>,לימודי מתמטיקה,הערכת עצמית,שימוש בלוח רכבות,2012
ST37Q02,Maths Self-Efficacy - Calculating TV Discount,Learning Mathematics,,Calculating TV Discount,לימודי מתמטיקה,הערכת עצמית,חישוב הנחה על טלוויזיה,2012
ST37Q03,Maths Self-Efficacy - Calculating Square Metres of Tiles,Learning Mathematics,,Calculating Square Metres of Tiles,לימודי מתמטיקה,הערכת עצמית,חישוב שטח רצפה,2012
ST37Q04,Maths Self-Efficacy - Understanding Graphs in Newspapers,Learning Mathematics,,Understanding Graphs in Newspapers,לימודי מתמטיקה,הערכת עצמית,הבנת גרפים בעיתונים,2012
ST37Q05,Maths Self-Efficacy - Solving Equation 1,Learning Mathematics,,Solving Equation 1,לימודי מתמטיקה,הערכת עצמית,פתירת משוואה 1,2012
ST37Q06,Maths Self-Efficacy - Distance to Scale,Learning Mathematics,,Distance to Scale,לימודי מתמטיקה,הערכת עצמית,,2012
ST37Q07,Maths Self-Efficacy - Solving Equation 2,Learning Mathematics,,Solving Equation 2,לימודי מתמטיקה,הערכת עצמית,פתירת משוואה 2,2012
ST37Q08,Maths Self-Efficacy - Calculate Petrol Consumption Rate,Learning Mathematics,,Calculate Petrol Consumption Rate,לימודי מתמטיקה,הערכת עצמית,,2012
ST42Q01,Maths Anxiety - Worry That It Will Be Difficult,Learning Mathematics,,Worry That It Will Be Difficult,לימודי מתמטיקה,חרדות,פחד שיהיה קשה,2012
ST42Q02,Maths Self-Concept - Not Good at Maths,Learning Mathematics,,Not Good at Maths,לימודי מתמטיקה,הערכת עצמית,לא טוב במתמטיקה,2012
ST42Q03,Maths Anxiety - Get Very Tense,Learning Mathematics,,Get Very Tense,לימודי מתמטיקה,חרדות,נהיה לחוץ,2012
ST42Q04,Maths Self-Concept - Get Good <Grades>,Learning Mathematics,,Get Good Grades,לימודי מתמטיקה,הערכת עצמית,מקבל ציונים טובים,2012
ST42Q05,Maths Anxiety - Get Very Nervous,Learning Mathematics,,Get Very Nervous,לימודי מתמטיקה,חרדות,נהיה עצבני,2012
ST42Q06,Maths Self-Concept - Learn Quickly,Learning Mathematics,,Learn Quickly,לימודי מתמטיקה,הערכת עצמית,לומד מהר,2012
ST42Q07,Maths Self-Concept - One of Best Subjects,Learning Mathematics,,One of Best Subjects,לימודי מתמטיקה,הערכת עצמית,אחד מהמקצועות הטובים,2012
ST42Q08,Maths Anxiety - Feel Helpless,Learning Mathematics,,Feel Helpless,לימודי מתמטיקה,חרדות,מרגיש חסר אונים,2012
ST42Q09,Maths Self-Concept - Understand Difficult Work,Learning Mathematics,,Understand Difficult Work,לימודי מתמטיקה,הערכת עצמית,מבין עבודה קשה,2012
ST42Q10,Maths Anxiety - Worry About Getting Poor <Grades>,Learning Mathematics,,Worry About Getting Poor Grades,לימודי מתמטיקה,חרדות,דואג מקבלת ציונים נמוכים,2012
ST43Q01,Perceived Control - Can Succeed with Enough Effort,Learning Mathematics,,Can Succeed with Enough Effort,לימודי מתמטיקה,תפיסת שליטה,יכול להצליח עם מספיק מאמץ,2012
ST43Q02,Perceived Control - Doing Well is Completely Up to Me,Learning Mathematics,,Doing Well is Completely Up to Me,לימודי מתמטיקה,תפיסת שליטה,להיות בסדר תלוי לגמרי בי,2012
ST43Q03,Perceived Control - Family Demands and Problems,Learning Mathematics,,Family Demands and Problems,לימודי מתמטיקה,תפיסת שליטה,צרכים משפחתיים ובעיות,2012
ST43Q04,Perceived Control - Different Teachers,Learning Mathematics,,Different Teachers,לימודי מתמטיקה,תפיסת שליטה,מורים שונים,2012
ST43Q05,Perceived Control - If I Wanted I Could Perform Well,Learning Mathematics,,If I Wanted I Could Perform Well,לימודי מתמטיקה,תפיסת שליטה,אם הייתי רוצה הייתי יכול להיות בסדר,2012
ST43Q06,Perceived Control - Perform Poorly Regardless,Learning Mathematics,,Perform Poorly Regardless,לימודי מתמטיקה,תפיסת שליטה,,2012
ST44Q01,Attributions to Failure - Not Good at Maths Problems,Learning Mathematics,,Not Good at Maths Problems,לימודי מתמטיקה,הסברים לכשלון,לא טוב בבעיות מתמטיות,2012
ST44Q03,Attributions to Failure - Teacher Did Not Explain Well,Learning Mathematics,,Teacher Did Not Explain Well,לימודי מתמטיקה,הסברים לכשלון,המורה לא הסבירה טוב,2012
ST44Q04,Attributions to Failure - Bad Guesses,Learning Mathematics,,Bad Guesses,לימודי מתמטיקה,הסברים לכשלון,ניחושים גרועים,2012
ST44Q05,Attributions to Failure - Material Too Hard,Learning Mathematics,,Material Too Hard,לימודי מתמטיקה,הסברים לכשלון,החומר קשה מדי,2012
ST44Q07,Attributions to Failure - Teacher Didnt Get Students Interested,Learning Mathematics,,Teacher Didnt Get Students Interested,לימודי מתמטיקה,הסברים לכשלון,המורה לא גורמת לתלמידים להתעניין,2012
ST44Q08,Attributions to Failure - Unlucky,Learning Mathematics,,Unlucky,לימודי מתמטיקה,הסברים לכשלון,חוסר מזל,2012
ST46Q01,Maths Work Ethic - Homework Completed in Time,Learning Mathematics,,Homework Completed in Time,לימודי מתמטיקה,הכנת שיעורי בית,סיום שיעורי בית בזמן,2012
ST46Q02,Maths Work Ethic - Work Hard on Homework,Learning Mathematics,,Work Hard on Homework,לימודי מתמטיקה,הכנת שיעורי בית,השקעה בשיעורי הבית,2012
ST46Q03,Maths Work Ethic - Prepared for Exams,Learning Mathematics,,Prepared for Exams,לימודי מתמטיקה,הכנת שיעורי בית,התכוננות למבחנים,2012
ST46Q04,Maths Work Ethic - Study Hard for Quizzes,Learning Mathematics,,Study Hard for Quizzes,לימודי מתמטיקה,הכנת שיעורי בית,התכוננות לבחנים,2012
ST46Q05,Maths Work Ethic - Study Until I Understand Everything,Learning Mathematics,,Study Until I Understand Everything,לימודי מתמטיקה,הכנת שיעורי בית,לימוד עד שהכל מובן,2012
ST46Q06,Maths Work Ethic - Pay Attention in Classes,Learning Mathematics,,Pay Attention in Classes,לימודי מתמטיקה,הכנת שיעורי בית,תשומת לב בשיעורים,2012
ST46Q07,Maths Work Ethic - Listen in Classes,Learning Mathematics,,Listen in Classes,לימודי מתמטיקה,הכנת שיעורי בית,הקשבה בשיעורים,2012
ST46Q08,Maths Work Ethic - Avoid Distractions When Studying,Learning Mathematics,,Avoid Distractions When Studying,לימודי מתמטיקה,הכנת שיעורי בית,מניעת הסחות בזמן לימוד,2012
ST46Q09,Maths Work Ethic - Keep Work Organized,Learning Mathematics,,Keep Work Organized,לימודי מתמטיקה,הכנת שיעורי בית,עבודה מאורגנת,2012
ST48Q01,Maths Intentions - Mathematics vs. Language Courses After School,Learning Mathematics,,Mathematics vs. Language Courses After School,לימודי מתמטיקה,,מתמטיקה לעומת קורסי שפה אחרי בית ספר,2012
ST48Q02,Maths Intentions - Mathematics vs. Science Related Major in College,Learning Mathematics,,Mathematics vs. Science Related Major in College,לימודי מתמטיקה,,,2012
ST48Q03,Maths Intentions - Study Harder in Mathematics vs. Language Classes,Learning Mathematics,,Study Harder in Mathematics vs. Language Classes,לימודי מתמטיקה,,,2012
ST48Q04,Maths Intentions - Take Maximum Number of Mathematics vs. Science Classes,Learning Mathematics,,Take Maximum Number of Mathematics vs. Science Classes,לימודי מתמטיקה,,,2012
ST48Q05,Maths Intentions - Pursuing a Career That Involves Mathematics vs. Science,Learning Mathematics,,Pursuing a Career That Involves Mathematics vs. Science,לימודי מתמטיקה,,,2012
ST49Q01,Maths Behaviour - Talk about Maths with Friends,Learning Mathematics,,Talk about Maths with Friends,לימודי מתמטיקה,התנהגות,מדבר על מתמטיקה עם חברים,2012
ST49Q02,Maths Behaviour - Help Friends with Maths,Learning Mathematics,,Help Friends with Maths,לימודי מתמטיקה,התנהגות,עוזר לחברים במתמטיקה,2012
ST49Q03,Maths Behaviour - <Extracurricular> Activity,Learning Mathematics,,<Extracurricular> Activity,לימודי מתמטיקה,התנהגות,פעילות מחוץ ללימוד,2012
ST49Q04,Maths Behaviour - Participate in Competitions,Learning Mathematics,,Participate in Competitions,לימודי מתמטיקה,התנהגות,משתתף בתחרויות,2012
ST49Q05,Maths Behaviour - Study More Than 2 Extra Hours a Day,Learning Mathematics,,Study More Than 2 Extra Hours a Day,לימודי מתמטיקה,התנהגות,לומד בבית יותר משעתיים ביום,2012
ST49Q06,Maths Behaviour - Play Chess,Learning Mathematics,,Play Chess,לימודי מתמטיקה,התנהגות,משחק שחמט,2012
ST49Q07,Maths Behaviour - Computer programming,Learning Mathematics,,Computer programming,לימודי מתמטיקה,התנהגות,מתכנת,2012
ST49Q09,Maths Behaviour - Participate in Maths Club,Learning Mathematics,,Participate in Maths Club,לימודי מתמטיקה,התנהגות,משתתף במועדון מתמטיקה,2012
ST53Q01,Learning Strategies - Important Parts vs. Existing Knowledge vs. Learn by Heart,Learning Mathematics,,Important Parts vs. Existing Knowledge vs. Learn by Heart,לימודי מתמטיקה,אסטרטגיות למידה,,2012
ST53Q02,Learning Strategies - Improve Understanding vs. New Ways vs. Memory,Learning Mathematics,,Improve Understanding vs. New Ways vs. Memory,לימודי מתמטיקה,אסטרטגיות למידה,,2012
ST53Q03,Learning Strategies - Other Subjects vs. Learning Goals vs. Rehearse Problems,Learning Mathematics,,Other Subjects vs. Learning Goals vs. Rehearse Problems,לימודי מתמטיקה,אסטרטגיות למידה,,2012
ST53Q04,Learning Strategies - Repeat Examples vs. Everyday Applications vs. More Information,Learning Mathematics,,Repeat Examples vs. Everyday Applications vs. More Information,לימודי מתמטיקה,אסטרטגיות למידה,,2012
ST55Q01,Out of school lessons - <test lang>,Learning Mathematics,,<test lang>,לימודי מתמטיקה,שיעורים פרטיים,קריאה,2012
ST55Q02,Out of school lessons - <maths>,Learning Mathematics,,<maths>,לימודי מתמטיקה,שיעורים פרטיים,מתמטיקה,2012
ST55Q03,Out of school lessons - <science>,Learning Mathematics,,<science>,לימודי מתמטיקה,שיעורים פרטיים,מדעים,2012
ST55Q04,Out of school lessons - other,Learning Mathematics,,other,לימודי מתמטיקה,שיעורים פרטיים,אחר,2012
ST57Q01,Out-of-School Study Time - Homework,Learning Mathematics,,Homework,לימודי מתמטיקה,זמן לימודים,שיעורי בית,2012
ST57Q02,Out-of-School Study Time - Guided Homework,Learning Mathematics,,Guided Homework,לימודי מתמטיקה,זמן לימודים,שיעורי בית מונחים,2012
ST57Q03,Out-of-School Study Time - Personal Tutor,Learning Mathematics,,Personal Tutor,לימודי מתמטיקה,זמן לימודים,הדרכה אישית,2012
ST57Q04,Out-of-School Study Time - Commercial Company,Learning Mathematics,,Commercial Company,לימודי מתמטיקה,זמן לימודים,חברה מסחרית,2012
ST57Q05,Out-of-School Study Time - With Parent,Learning Mathematics,,With Parent,לימודי מתמטיקה,זמן לימודים,עם ההורים,2012
ST57Q06,Out-of-School Study Time - Computer,Learning Mathematics,,Computer,לימודי מתמטיקה,זמן לימודים,מחשב,2012
ST61Q01,Experience with Applied Maths Tasks - Use <Train Timetable>,Learning Mathematics,,Use <Train Timetable>,לימודי מתמטיקה,התנסות במשימות,שימוש בלוח זמני רכבת,2012
ST61Q02,Experience with Applied Maths Tasks - Calculate Price including Tax,Learning Mathematics,,Calculate Price including Tax,לימודי מתמטיקה,התנסות במשימות,חישוב מחיר +מעמ,2012
ST61Q03,Experience with Applied Maths Tasks - Calculate Square Metres,Learning Mathematics,,Calculate Square Metres,לימודי מתמטיקה,התנסות במשימות,חישוב מטר מרובע,2012
ST61Q04,Experience with Applied Maths Tasks - Understand Scientific Tables,Learning Mathematics,,Understand Scientific Tables,לימודי מתמטיקה,התנסות במשימות,הבנת טבלה חשבונית,2012
ST61Q05,Experience with Pure Maths Tasks - Solve Equation 1,Learning Mathematics,,Solve Equation 1,לימודי מתמטיקה,התנסות במשימות,פתירת משוואה 1,2012
ST61Q06,Experience with Applied Maths Tasks - Use a Map to Calculate Distance,Learning Mathematics,,Use a Map to Calculate Distance,לימודי מתמטיקה,התנסות במשימות,שימוש במפה לחישוב מרחק,2012
ST61Q07,Experience with Pure Maths Tasks - Solve Equation 2,Learning Mathematics,,Solve Equation 2,לימודי מתמטיקה,התנסות במשימות,פתירת משוואה 2,2012
ST61Q08,Experience with Applied Maths Tasks - Calculate Power Consumption Rate,Learning Mathematics,,Calculate Power Consumption Rate,לימודי מתמטיקה,התנסות במשימות,חישוב קצב צריכת כוח,2012
ST61Q09,Experience with Applied Maths Tasks - Solve Equation 3,Learning Mathematics,,Solve Equation 3,לימודי מתמטיקה,התנסות במשימות,פתרון משוואה 3,2012
ST62Q01,Familiarity with Maths Concepts - Exponential Function,Learning Mathematics,,Exponential Function,לימודי מתמטיקה,היכרות מושגים,משוואה מעריכית,2012
ST62Q02,Familiarity with Maths Concepts - Divisor,Learning Mathematics,,Divisor,לימודי מתמטיקה,היכרות מושגים,מחלק,2012
ST62Q03,Familiarity with Maths Concepts - Quadratic Function,Learning Mathematics,,Quadratic Function,לימודי מתמטיקה,היכרות מושגים,משוואה ריבועית,2012
ST62Q04,Overclaiming - Proper Number,Learning Mathematics,,Proper Number,לימודי מתמטיקה,היכרות מושגים,מושג שאינו קיים - מספר תקין,2012
ST62Q06,Familiarity with Maths Concepts - Linear Equation,Learning Mathematics,,Linear Equation,לימודי מתמטיקה,היכרות מושגים,משוואות לינאריות,2012
ST62Q07,Familiarity with Maths Concepts - Vectors,Learning Mathematics,,Vectors,לימודי מתמטיקה,היכרות מושגים,וקטורים,2012
ST62Q08,Familiarity with Maths Concepts - Complex Number,Learning Mathematics,,Complex Number,לימודי מתמטיקה,היכרות מושגים,מספרים מרוכבים,2012
ST62Q09,Familiarity with Maths Concepts - Rational Number,Learning Mathematics,,Rational Number,לימודי מתמטיקה,היכרות מושגים,מספרים רציונלים,2012
ST62Q10,Familiarity with Maths Concepts - Radicals,Learning Mathematics,,Radicals,לימודי מתמטיקה,היכרות מושגים,שורשים,2012
ST62Q11,Overclaiming - Subjunctive Scaling,Learning Mathematics,,Subjunctive Scaling,לימודי מתמטיקה,היכרות מושגים,Subjunctive Scaling – מושג שאינו קיים,2012
ST62Q12,Familiarity with Maths Concepts - Polygon,Learning Mathematics,,Polygon,לימודי מתמטיקה,היכרות מושגים,פוליגון,2012
ST62Q13,Overclaiming - Declarative Fraction,Learning Mathematics,,Declarative Fraction,לימודי מתמטיקה,היכרות מושגים,מושג שאינו קיים – שבר דקלרטיבי,2012
ST62Q15,Familiarity with Maths Concepts - Congruent Figure,Learning Mathematics,,Congruent Figure,לימודי מתמטיקה,היכרות מושגים,צורות חופפות,2012
ST62Q16,Familiarity with Maths Concepts - Cosine,Learning Mathematics,,Cosine,לימודי מתמטיקה,היכרות מושגים,קוסינוס,2012
ST62Q17,Familiarity with Maths Concepts - Arithmetic Mean,Learning Mathematics,,Arithmetic Mean,לימודי מתמטיקה,היכרות מושגים,ממוצע אריתמטי,2012
ST62Q19,Familiarity with Maths Concepts - Probability,Learning Mathematics,,Probability,לימודי מתמטיקה,היכרות מושגים,הסתברות,2012
ST69Q01,Min in <class period> - <test lang>,School,,Test lang,בית הספר,זמן שיעור,קריאה,2012
ST69Q02,Min in <class period> - <Maths>,School,,Maths,בית הספר,זמן שיעור,מתמטיקה,2012
ST69Q03,Min in <class period> - <Science>,School,,Science,בית הספר,זמן שיעור,מדעים,2012
ST70Q01,No of <class period> p/wk - <test lang>,School,,Test lang,בית הספר,שעות שבועיות,קריאה,2012
ST70Q02,No of <class period> p/wk - <Maths>,School,,Maths,בית הספר,שעות שבועיות,מתמטיקה,2012
ST70Q03,No of <class period> p/wk - <Science>,School,,Science,בית הספר,שעות שבועיות,מדעים,2012
ST71Q01,No of ALL <class period> a week,School,,All,בית הספר,שעות שבועיות,כללי,2012
ST72Q01,Class Size - No of Students in <Test Language> Class,School,,No of Students,בית הספר,גודל כיתה,מספר תלמידים,2012
ST73Q01,OTL - Algebraic Word Problem in Maths Lesson,Learning Mathematics,,Algebraic Word Problem in Maths Lesson,לימודי מתמטיקה,פתרון בעיות,,2012
ST73Q02,OTL - Algebraic Word Problem in Tests,Learning Mathematics,,Algebraic Word Problem in Tests,לימודי מתמטיקה,פתרון בעיות,,2012
ST74Q01,OTL - Procedural Task in Maths Lesson,Learning Mathematics,,Procedural Task in Maths Lesson,לימודי מתמטיקה,פתרון בעיות,,2012
ST74Q02,OTL - Procedural Task in Tests,Learning Mathematics,,Procedural Task in Tests,לימודי מתמטיקה,פתרון בעיות,,2012
ST75Q01,OTL - Pure Maths Reasoning in Maths Lesson,Learning Mathematics,,Pure Maths Reasoning in Maths Lesson,לימודי מתמטיקה,פתרון בעיות,,2012
ST75Q02,OTL - Pure Maths Reasoning in Tests,Learning Mathematics,,Pure Maths Reasoning in Tests,לימודי מתמטיקה,פתרון בעיות,,2012
ST76Q01,OTL - Applied Maths Reasoning in Maths Lesson,Learning Mathematics,,Applied Maths Reasoning in Maths Lesson,לימודי מתמטיקה,פתרון בעיות,,2012
ST76Q02,OTL - Applied Maths Reasoning in Tests,Learning Mathematics,,Applied Maths Reasoning in Tests,לימודי מתמטיקה,פתרון בעיות,,2012
ST77Q01,Maths Teaching - Teacher shows interest,Learning Mathematics,,Teacher shows interest,לימודי מתמטיקה,הוראה בכיתה,המורה מראה עניין,2012
ST77Q02,Maths Teaching - Extra help,Learning Mathematics,,Extra help,לימודי מתמטיקה,הוראה בכיתה,עזרה נוספת,2012
ST77Q04,Maths Teaching - Teacher helps,Learning Mathematics,,Teacher helps,לימודי מתמטיקה,הוראה בכיתה,המורה עוזרת,2012
ST77Q05,Maths Teaching - Teacher continues,Learning Mathematics,,Teacher continues,לימודי מתמטיקה,הוראה בכיתה,המורה ממשיכה,2012
ST77Q06,Maths Teaching - Express opinions,Learning Mathematics,,Express opinions,לימודי מתמטיקה,הוראה בכיתה,מבטאת דעות,2012
ST79Q01,Teacher-Directed Instruction - Sets Clear Goals,Learning Mathematics,,Sets Clear Goals,לימודי מתמטיקה,הוראות המורה,נותנת הוראות ברורות,2012
ST79Q02,Teacher-Directed Instruction - Encourages Thinking and Reasoning,Learning Mathematics,,Encourages Thinking and Reasoning,לימודי מתמטיקה,הוראה בכיתה,מעודדת חשיבה ונימוק,2012
ST79Q03,Student Orientation - Differentiates Between Students When Giving Tasks,Learning Mathematics,,Differentiates Between Students When Giving Tasks,לימודי מתמטיקה,אוריינות תלמיד,נותנת לכל תלמיד משימה אחרת,2012
ST79Q04,Student Orientation - Assigns Complex Projects,Learning Mathematics,,Assigns Complex Projects,לימודי מתמטיקה,אוריינות תלמיד,נותנת פרויקטים מורכבים,2012
